observed_date,licence_type,assignment_count,distinct_licensees
2026-08-26,Maritime Mobile - Mobile Transmit,119,46
2026-08-26,Maritime Repeater,119,46
2026-08-26,HF AM (Radio),103,2
2026-08-26,"Radiodet - Radio Beacons (VOR, NDB, ILS)",87,4
2026-08-26,Radiodetermination - Mobile Transmit,84,3
2026-08-26,Land Simplex - General Channels,78,16
2026-08-26,"Two Frequency (SSR, DME)",77,3
2026-08-26,Fixed Television Outside Broadcast 2G8 Band,50,3
2026-08-26,Radar (Other),49,10
2026-08-26,Fixed Television Outside Broadcast 7G Band,48,5
2026-08-26,PRS Repeater,39,37
2026-08-26,Fixed Uni-directional Point-to-Multipoint,36,10
2026-08-26,PRS - Mobile Transmit,35,33
2026-08-26,Amateur Digipeater,31,19
2026-08-26,Amateur Fixed,25,3
2026-08-26,Telemetry/Telecommand (Bi-directional),24,6
2026-08-26,Amateur Beacon,22,8
2026-08-26,Meteorological Radar,20,4
2026-08-26,Meteorological Aid (Radiosonde),18,4
2026-08-26,General user licence (Spectrum),8,1
2026-08-26,Aero Mobile (Off Route),7,6
2026-08-26,Fixed >=1 GHz (Uni-directional),6,2
2026-08-26,Space operations earth stations,5,2
2026-08-26,Space operations spacecraft,5,2
2026-08-26,Aero Repeater,4,2
2026-08-26,Aero Repeater - Mobile Transmit,4,2
2026-08-26,Amateur TV Repeater,4,1
2026-08-26,Aero Mobile (Route),2,2
2026-08-26,Radar,2,1
2026-08-27,Other (Spectrum),29674,6
2026-08-27,Land Simplex,13583,2358
2026-08-27,Fixed >=1 GHz (Bi-directional),10728,146
2026-08-27,Land Repeater,10151,871
2026-08-27,Land Mobile - Mobile Transmit,6218,878
2026-08-27,Fixed <1 GHz; BW <=50 kHz (Bi-directional),2744,163
2026-08-27,VHF FM,1793,111
2026-08-27,Fixed Bi-directional Point-to-Multipoint,1644,70
2026-08-27,Satellite,1346,21
2026-08-27,Paging,1121,99
2026-08-27,Maritime Coast Station,719,51
2026-08-27,Managed Spectrum Park,639,20
2026-08-27,Fixed < 1GHz; BW >50kHz (Uni-directional),618,87
2026-08-27,General user licence (Radio),568,1
2026-08-27,Fixed <1 GHz; BW <=50 kHz (Uni-directional),561,45
2026-08-27,Aero Base (Off Route),448,71
2026-08-27,Aero Base (Route),324,25
2026-08-27,MF AM,306,31
2026-08-27,Amateur Repeater - Mobile Transmit,290,74
2026-08-27,Amateur Repeater,281,74
2026-08-27,Telemetry/Telecommand (Uni-directional),245,75
2026-08-27,Land Simplex Govt. use only,235,22
2026-08-27,Fixed < 1GHz; BW >50kHz (Bi-directional),213,14
2026-08-27,UHF TV,187,9
2026-08-27,Satellite - Satellite Transmit,168,15
2026-08-27,Maritime Mobile - Mobile Transmit,119,46
2026-08-27,Maritime Repeater,119,46
2026-08-27,HF AM (Radio),103,2
2026-08-27,"Radiodet - Radio Beacons (VOR, NDB, ILS)",87,4
2026-08-27,Radiodetermination - Mobile Transmit,84,3
2026-08-27,Land Simplex - General Channels,78,16
2026-08-27,"Two Frequency (SSR, DME)",77,3
2026-08-27,Fixed Television Outside Broadcast 2G8 Band,50,3
2026-08-27,Radar (Other),49,10
2026-08-27,Fixed Television Outside Broadcast 7G Band,48,5
2026-08-27,PRS Repeater,39,37
2026-08-27,Fixed Uni-directional Point-to-Multipoint,36,10
2026-08-27,PRS - Mobile Transmit,35,33
2026-08-27,Amateur Digipeater,31,19
2026-08-27,Amateur Fixed,25,3
2026-08-27,Telemetry/Telecommand (Bi-directional),24,6
2026-08-27,Amateur Beacon,22,8
2026-08-27,Meteorological Radar,20,4
2026-08-27,Meteorological Aid (Radiosonde),18,4
2026-08-27,General user licence (Spectrum),8,1
2026-08-27,Aero Mobile (Off Route),7,6
2026-08-27,Fixed >=1 GHz (Uni-directional),6,2
2026-08-27,Space operations earth stations,5,2
2026-08-27,Space operations spacecraft,5,2
2026-08-27,Aero Repeater,4,2
2026-08-27,Aero Repeater - Mobile Transmit,4,2
2026-08-27,Amateur TV Repeater,4,1
2026-08-27,Aero Mobile (Route),2,2
2026-08-27,Radar,2,1
2026-08-28,Other (Spectrum),29674,6
2026-08-28,Land Simplex,13583,2358
2026-08-28,Fixed >=1 GHz (Bi-directional),10730,146
2026-08-28,Land Repeater,10152,871
2026-08-28,Land Mobile - Mobile Transmit,6219,878
2026-08-28,Fixed <1 GHz; BW <=50 kHz (Bi-directional),2744,163
2026-08-28,VHF FM,1793,111
2026-08-28,Fixed Bi-directional Point-to-Multipoint,1644,70
2026-08-28,Satellite,1346,21
2026-08-28,Paging,1121,99
2026-08-28,Maritime Coast Station,719,51
2026-08-28,Managed Spectrum Park,639,20
2026-08-28,Fixed < 1GHz; BW >50kHz (Uni-directional),618,87
2026-08-28,General user licence (Radio),568,1
2026-08-28,Fixed <1 GHz; BW <=50 kHz (Uni-directional),561,45
2026-08-28,Aero Base (Off Route),448,71
2026-08-28,Aero Base (Route),324,25
2026-08-28,MF AM,306,31
2026-08-28,Amateur Repeater - Mobile Transmit,290,74
2026-08-28,Amateur Repeater,281,74
2026-08-28,Telemetry/Telecommand (Uni-directional),245,75
2026-08-28,Land Simplex Govt. use only,235,22
2026-08-28,Fixed < 1GHz; BW >50kHz (Bi-directional),213,14
2026-08-28,UHF TV,187,9
2026-08-28,Satellite - Satellite Transmit,168,15
2026-08-28,Maritime Mobile - Mobile Transmit,119,46
2026-08-28,Maritime Repeater,119,46
2026-08-28,HF AM (Radio),103,2
2026-08-28,"Radiodet - Radio Beacons (VOR, NDB, ILS)",87,4
2026-08-28,Radiodetermination - Mobile Transmit,84,3
2026-08-28,Land Simplex - General Channels,78,16
2026-08-28,"Two Frequency (SSR, DME)",77,3
2026-08-28,Fixed Television Outside Broadcast 2G8 Band,50,3
2026-08-28,Radar (Other),49,10
2026-08-28,Fixed Television Outside Broadcast 7G Band,48,5
2026-08-28,PRS Repeater,39,37
2026-08-28,Fixed Uni-directional Point-to-Multipoint,36,10
2026-08-28,PRS - Mobile Transmit,35,33
2026-08-28,Amateur Digipeater,31,19
2026-08-28,Amateur Fixed,25,3
2026-08-28,Telemetry/Telecommand (Bi-directional),24,6
2026-08-28,Amateur Beacon,22,8
2026-08-28,Meteorological Radar,20,4
2026-08-28,Meteorological Aid (Radiosonde),18,4
2026-08-28,General user licence (Spectrum),8,1
2026-08-28,Aero Mobile (Off Route),7,6
2026-08-28,Fixed >=1 GHz (Uni-directional),6,2
2026-08-28,Space operations earth stations,5,2
2026-08-28,Space operations spacecraft,5,2
2026-08-28,Aero Repeater,4,2
2026-08-28,Aero Repeater - Mobile Transmit,4,2
2026-08-28,Amateur TV Repeater,4,1
2026-08-28,Aero Mobile (Route),2,2
2026-08-28,Radar,2,1
2026-08-29,Other (Spectrum),29674,6
2026-08-29,Land Simplex,13583,2358
2026-08-29,Fixed >=1 GHz (Bi-directional),10730,146
2026-08-29,Land Repeater,10152,871
2026-08-29,Land Mobile - Mobile Transmit,6219,878
2026-08-29,Fixed <1 GHz; BW <=50 kHz (Bi-directional),2744,163
2026-08-29,VHF FM,1793,111
2026-08-29,Fixed Bi-directional Point-to-Multipoint,1644,70
2026-08-29,Satellite,1346,21
2026-08-29,Paging,1121,99
2026-08-29,Maritime Coast Station,719,51
2026-08-29,Managed Spectrum Park,639,20
2026-08-29,Fixed < 1GHz; BW >50kHz (Uni-directional),618,87
2026-08-29,General user licence (Radio),568,1
2026-08-29,Fixed <1 GHz; BW <=50 kHz (Uni-directional),561,45
2026-08-29,Aero Base (Off Route),448,71
2026-08-29,Aero Base (Route),324,25
2026-08-29,MF AM,306,31
2026-08-29,Amateur Repeater - Mobile Transmit,290,74
2026-08-29,Amateur Repeater,281,74
2026-08-29,Telemetry/Telecommand (Uni-directional),245,75
2026-08-29,Land Simplex Govt. use only,235,22
2026-08-29,Fixed < 1GHz; BW >50kHz (Bi-directional),213,14
2026-08-29,UHF TV,187,9
2026-08-29,Satellite - Satellite Transmit,168,15
2026-08-29,Maritime Mobile - Mobile Transmit,119,46
2026-08-29,Maritime Repeater,119,46
2026-08-29,HF AM (Radio),103,2
2026-08-29,"Radiodet - Radio Beacons (VOR, NDB, ILS)",87,4
2026-08-29,Radiodetermination - Mobile Transmit,84,3
2026-08-29,"Two Frequency (SSR, DME)",77,3
2026-08-29,Land Simplex - General Channels,74,15
2026-08-29,Fixed Television Outside Broadcast 2G8 Band,50,3
2026-08-29,Radar (Other),49,10
2026-08-29,Fixed Television Outside Broadcast 7G Band,48,5
2026-08-29,PRS Repeater,39,37
2026-08-29,Fixed Uni-directional Point-to-Multipoint,36,10
2026-08-29,PRS - Mobile Transmit,35,33
2026-08-29,Amateur Digipeater,31,19
2026-08-29,Amateur Fixed,25,3
2026-08-29,Telemetry/Telecommand (Bi-directional),24,6
2026-08-29,Amateur Beacon,22,8
2026-08-29,Meteorological Radar,20,4
2026-08-29,Meteorological Aid (Radiosonde),18,4
2026-08-29,General user licence (Spectrum),8,1
2026-08-29,Aero Mobile (Off Route),7,6
2026-08-29,Fixed >=1 GHz (Uni-directional),6,2
2026-08-29,Space operations earth stations,5,2
2026-08-29,Space operations spacecraft,5,2
2026-08-29,Aero Repeater,4,2
2026-08-29,Aero Repeater - Mobile Transmit,4,2
2026-08-29,Amateur TV Repeater,4,1
2026-08-29,Aero Mobile (Route),2,2
2026-08-29,Radar,2,1
2026-08-30,Other (Spectrum),29674,6
2026-08-30,Land Simplex,13576,2356
2026-08-30,Fixed >=1 GHz (Bi-directional),10730,146
2026-08-30,Land Repeater,10149,871
2026-08-30,Land Mobile - Mobile Transmit,6216,878
2026-08-30,Fixed <1 GHz; BW <=50 kHz (Bi-directional),2744,163
2026-08-30,VHF FM,1793,111
2026-08-30,Fixed Bi-directional Point-to-Multipoint,1644,70
2026-08-30,Satellite,1346,21
2026-08-30,Paging,1121,99
2026-08-30,Maritime Coast Station,719,51
2026-08-30,Managed Spectrum Park,639,20
2026-08-30,Fixed < 1GHz; BW >50kHz (Uni-directional),617,86
2026-08-30,General user licence (Radio),568,1
2026-08-30,Fixed <1 GHz; BW <=50 kHz (Uni-directional),561,45
2026-08-30,Aero Base (Off Route),448,71
2026-08-30,Aero Base (Route),324,25
2026-08-30,MF AM,306,31
2026-08-30,Amateur Repeater - Mobile Transmit,290,74
2026-08-30,Amateur Repeater,281,74
2026-08-30,Telemetry/Telecommand (Uni-directional),245,75
2026-08-30,Land Simplex Govt. use only,235,22
2026-08-30,Fixed < 1GHz; BW >50kHz (Bi-directional),213,14
2026-08-30,UHF TV,187,9
2026-08-30,Satellite - Satellite Transmit,168,15
2026-08-30,Maritime Mobile - Mobile Transmit,119,46
2026-08-30,Maritime Repeater,119,46
2026-08-30,HF AM (Radio),103,2
2026-08-30,"Radiodet - Radio Beacons (VOR, NDB, ILS)",87,4
2026-08-30,Radiodetermination - Mobile Transmit,84,3
2026-08-30,"Two Frequency (SSR, DME)",77,3
2026-08-30,Land Simplex - General Channels,74,15
2026-08-30,Fixed Television Outside Broadcast 2G8 Band,50,3
2026-08-30,Radar (Other),49,10
2026-08-30,Fixed Television Outside Broadcast 7G Band,48,5
2026-08-30,PRS Repeater,39,37
2026-08-30,Fixed Uni-directional Point-to-Multipoint,36,10
2026-08-30,PRS - Mobile Transmit,35,33
2026-08-30,Amateur Digipeater,31,19
2026-08-30,Amateur Fixed,25,3
2026-08-30,Telemetry/Telecommand (Bi-directional),24,6
2026-08-30,Amateur Beacon,22,8
2026-08-30,Meteorological Radar,20,4
2026-08-30,Meteorological Aid (Radiosonde),18,4
2026-08-30,General user licence (Spectrum),8,1
2026-08-30,Aero Mobile (Off Route),7,6
2026-08-30,Fixed >=1 GHz (Uni-directional),6,2
2026-08-30,Space operations earth stations,5,2
2026-08-30,Space operations spacecraft,5,2
2026-08-30,Aero Repeater,4,2
2026-08-30,Aero Repeater - Mobile Transmit,4,2
2026-08-30,Amateur TV Repeater,4,1
2026-08-30,Aero Mobile (Route),2,2
2026-08-30,Radar,2,1
2026-08-31,Other (Spectrum),29674,6
2026-08-31,Land Simplex,13576,2356
2026-08-31,Fixed >=1 GHz (Bi-directional),10732,146
2026-08-31,Land Repeater,10146,871
2026-08-31,Land Mobile - Mobile Transmit,6215,878
2026-08-31,Fixed <1 GHz; BW <=50 kHz (Bi-directional),2744,163
2026-08-31,VHF FM,1793,111
2026-08-31,Fixed Bi-directional Point-to-Multipoint,1644,70
2026-08-31,Satellite,1341,21
2026-08-31,Paging,1121,99
2026-08-31,Maritime Coast Station,719,51
2026-08-31,Managed Spectrum Park,639,20
2026-08-31,Fixed < 1GHz; BW >50kHz (Uni-directional),617,86
2026-08-31,General user licence (Radio),568,1
2026-08-31,Fixed <1 GHz; BW <=50 kHz (Uni-directional),561,45
2026-08-31,Aero Base (Off Route),448,71
2026-08-31,Aero Base (Route),324,25
2026-08-31,MF AM,306,31
2026-08-31,Amateur Repeater - Mobile Transmit,290,74
2026-08-31,Amateur Repeater,281,74
2026-08-31,Telemetry/Telecommand (Uni-directional),245,75
2026-08-31,Land Simplex Govt. use only,235,22
2026-08-31,Fixed < 1GHz; BW >50kHz (Bi-directional),213,14
2026-08-31,UHF TV,187,9
2026-08-31,Satellite - Satellite Transmit,163,15
2026-08-31,Maritime Mobile - Mobile Transmit,119,46
2026-08-31,Maritime Repeater,119,46
2026-08-31,HF AM (Radio),103,2
2026-08-31,"Radiodet - Radio Beacons (VOR, NDB, ILS)",87,4
2026-08-31,Radiodetermination - Mobile Transmit,84,3
2026-08-31,"Two Frequency (SSR, DME)",77,3
2026-08-31,Land Simplex - General Channels,74,15
2026-08-31,Fixed Television Outside Broadcast 2G8 Band,50,3
2026-08-31,Radar (Other),49,10
2026-08-31,Fixed Television Outside Broadcast 7G Band,48,5
2026-08-31,PRS Repeater,39,37
2026-08-31,Fixed Uni-directional Point-to-Multipoint,36,10
2026-08-31,PRS - Mobile Transmit,35,33
2026-08-31,Amateur Digipeater,31,19
2026-08-31,Amateur Fixed,25,3
2026-08-31,Telemetry/Telecommand (Bi-directional),24,6
2026-08-31,Amateur Beacon,22,8
2026-08-31,Meteorological Radar,20,4
2026-08-31,Meteorological Aid (Radiosonde),18,4
2026-08-31,General user licence (Spectrum),8,1
2026-08-31,Aero Mobile (Off Route),7,6
2026-08-31,Fixed >=1 GHz (Uni-directional),6,2
2026-08-31,Space operations earth stations,5,2
2026-08-31,Space operations spacecraft,5,2
2026-08-31,Aero Repeater,4,2
2026-08-31,Aero Repeater - Mobile Transmit,4,2
2026-08-31,Amateur TV Repeater,4,1
2026-08-31,Aero Mobile (Route),2,2
2026-08-31,Radar,2,1
