licensee,service,link_mode,band,assignment_count,min_frequency_mhz,max_frequency_mhz
"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment",Broadcasting,Unspecified,MF (300 kHz-3 MHz),153,0.531,1.593
DEPARTMENT OF CONSERVATION,Land Mobile,Repeater,VHF (30-300 MHz),149,142.45,164.8875
MARITIME NEW ZEALAND,Maritime,Unspecified,VHF (30-300 MHz),145,156.025,162.025
"KT1 Co Limited, KT2 Co Limited, NZSF Timber Investments (No 4) Limited",Land Mobile,Simplex,VHF (30-300 MHz),142,150.0625,153.5938
AMAZON KUIPER NEW ZEALAND LIMITED,Satellite & Space,Unspecified,SHF (3-30 GHz),141,18150.0,29175.0
Downer New Zealand Limited,Land Mobile,Repeater,VHF (30-300 MHz),141,151.0375,165.2875
VITAL LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),135,420.0125,1520.0
DEPARTMENT OF CORRECTIONS,Land Mobile,Repeater,UHF (300 MHz-3 GHz),133,455.3188,485.2188
ENHANCED SOLUTIONS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),133,7236.5,19590.0
VITAL LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),130,81.3625,162.875
National Emergency Management Agency,Land Mobile,Repeater,VHF (30-300 MHz),129,141.0125,142.9
T L PARKER LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),125,455.3313,863.9375
T L PARKER LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),125,450.2938,818.9375
INSPIRE NET LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),124,7452.5,19590.0
KIWIRAIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),120,455.4938,478.0813
T L PARKER LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),118,453.3688,868.9938
Unifone New Zealand Limited,Fixed Link,Bi-directional,SHF (3-30 GHz),116,7236.5,22512.0
Downer New Zealand Limited,Land Mobile,Mobile Transmit,VHF (30-300 MHz),115,153.6563,169.8875
MOUNT CAMPBELL CONNECT LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),113,151.1,165.325
MOUNT CAMPBELL CONNECT LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),113,153.7813,169.925
POWERCO LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),113,421.6625,1523.625
DEPARTMENT OF CORRECTIONS,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),112,450.2813,491.2313
TŪ ĀTEA NETWORK SERVICES LIMITED,Paging,Unspecified,VHF (30-300 MHz),112,157.8,160.4375
NZ DEFENCE FORCE HEADQUARTERS,Aeronautical,Base Station,HF (3-30 MHz),111,3.0244,27.5364
DEPARTMENT OF CONSERVATION,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),106,420.0375,459.8375
EVERY PERSON,General User Licence,Unspecified,VHF (30-300 MHz),105,30.425,267.5
Fire and Emergency New Zealand,Land Mobile,Repeater,UHF (300 MHz-3 GHz),105,464.2563,501.7
AMURI NET LIMITED,Spectrum Licence,Unspecified,UHF (300 MHz-3 GHz),103,2590.0,2610.0
RADIO NEW ZEALAND LIMITED,Broadcasting,Unspecified,HF (3-30 MHz),102,5.91,18.91
VITAL LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),101,85.3313,167.5
PRIMOWIRELESS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),100,10715.0,19590.0
MARLBOROUGH DISTRICT COUNCIL,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),97,420.1125,459.9875
WATERCARE SERVICES LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),96,450.5438,493.7813
WATERCARE SERVICES LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),95,455.5813,487.7688
St John,Paging,Unspecified,VHF (30-300 MHz),94,157.975,160.5375
AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Radiodetermination,Unspecified,UHF (300 MHz-3 GHz),93,993.0,1355.0
WATERCARE SERVICES LTD,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),93,420.0625,465.5625
CSE NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),91,449.9313,869.0125
DOVE COMMUNICATIONS (2023) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),91,453.3063,489.9188
NZ RED CROSS INC SOCIETY (NATIONAL OFFICE),Land Mobile,Simplex,HF (3-30 MHz),91,3.0244,20.815
WEL NETWORKS LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),87,420.0875,1522.125
AMURI NET LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),86,7452.5,19590.0
ASHLEY COMMUNICATIONS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),85,150.075,172.95
AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),83,423.4625,1523.875
EONFIBRE LIMITED,Fixed Link,Bi-directional,EHF (>30 GHz),82,37667.0,84750.0
Harris Technology Limited,Land Mobile,Simplex,UHF (300 MHz-3 GHz),79,453.3938,489.0813
