licensee,service,link_mode,band,assignment_count,min_frequency_mhz,max_frequency_mhz
FONTERRA CO-OPERATIVE GROUP,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,452.9938,473.5688
FONTERRA CO-OPERATIVE GROUP LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),5,450.1875,450.1875
GPS CONTROL SYSTEMS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,165.95,165.95
GRAHAM TUCKEY CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,150.3,170.8375
GROUNDS & SERVICES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,453.4688,466.9938
HAMILTON CITY COUNCIL,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,453.5813,489.9438
HANLON PLUMBING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,477.6938,482.5313
HOLCIM (NEW ZEALAND) LIMITED,Telemetry & Telecommand,Uni-directional,UHF (300 MHz-3 GHz),5,471.325,471.325
HR CEMENT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,461.5813,466.9188
INDEPENDENT LIQUOR (NZ) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,476.3313,489.5438
INSPECTION & CONSULTANCY SERVICES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,458.3688,458.5313
INTERNATIONAL BUDDHIST TRUST OF NEW ZEALAND (NORTH ISLAND),Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,453.3688,455.2813
ISAAC CONSTRUCTION LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,449.9563,464.8813
J.J BARBER HOLDINGS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,458.4688,465.1188
JENSEN STEEL FABRICATORS LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,461.6438,466.7188
JETSTAR AIRWAYS PTY LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,461.9313,480.0063
JETSTAR AIRWAYS PTY LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,467.1188,474.0188
JND LIMITED,Broadcasting,Unspecified,VHF (30-300 MHz),5,88.7,105.3
KAIKOURA DISTRICT COUNCIL,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),5,454.925,459.9625
KIWIRAIL,Fixed Link,Bi-directional,VHF (30-300 MHz),5,162.3688,166.9688
KORDIA LIMITED,Fixed Link,Uni-directional,SHF (3-30 GHz),5,4730.0,8207.27
KORDIA LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,462.3063,463.75
KORDIA LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,467.4938,468.9375
KORDIA LIMITED,Satellite & Space,Unspecified,SHF (3-30 GHz),5,6080.5,14231.25
KURT REID,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,455.0063,483.8563
KURU CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,150.075,150.65
LAWTER (N.Z.) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,458.3563,464.9938
LIVEMEDIA NZ LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),5,161.025,161.025
LIVEMEDIA NZ LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),5,158.125,158.125
LOU PRINCE 1995 LTD,Land Mobile,Simplex,VHF (30-300 MHz),5,159.3375,172.025
LVL80 CRANES NZ LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,449.8313,483.1063
MANAWATU AMATEUR RADIO SOCIETY INCORPORATED,Amateur,Unspecified,HF (3-30 MHz),5,3.5686,28.1246
MARITIME NEW ZEALAND,Aeronautical,Base Station,VHF (30-300 MHz),5,119.0,130.4
MCS PTT LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,150.9375,172.7875
MEDIAWORKS RADIO LIMITED,Satellite & Space,Unspecified,SHF (3-30 GHz),5,4004.586,6198.417
MEN AT WORK CANTERBURY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,470.8313,483.9688
MIKE EDRIDGE CONTRACTING LTD,Land Mobile,Simplex,VHF (30-300 MHz),5,165.7125,170.35
MILFORD TRACK LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),5,421.8125,458.8875
MILLS CHAPMAN COMMUNICATIONS LTD,Land Mobile,Simplex,VHF (30-300 MHz),5,150.25,165.825
MINISTRY OF JUSTICE - COURT SECURITY,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,472.0313,473.8688
MIRAKA LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,482.2063,483.9063
MITIGATE GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,483.2063,488.5188
NAPIER CITY COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,486.675,487.775
NAPIER CITY COUNCIL,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,492.6875,493.7875
NATIONAL GUARDS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,453.5063,477.5813
NELSON PINE INDUSTRIES LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,470.8188,488.3063
NETWORK TASMAN LTD,Land Mobile,Mobile Transmit,VHF (30-300 MHz),5,153.6313,155.9813
NETWORK TASMAN LTD,Land Mobile,Repeater,VHF (30-300 MHz),5,151.7,152.15
NETWORK WAITAKI LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,467.0563,469.7063
NETWORK WAITAKI LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,461.8688,464.5188
NEW IMAGE GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,482.5313,483.9563
NEW PLYMOUTH DISTRICT COUNCIL,Land Mobile,Simplex,VHF (30-300 MHz),5,165.725,170.8125
NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INC,Amateur,Repeater,VHF (30-300 MHz),5,146.675,146.925
NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INC,Amateur,Beacon,HF (3-30 MHz),5,14.1,28.2
NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INC,Amateur,Mobile Transmit,VHF (30-300 MHz),5,146.075,146.325
NEW ZEALAND INSTITUTE FOR EARTH SCIENCE LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,150.7125,172.9625
NEW ZEALAND INSTITUTE FOR EARTH SCIENCE LIMITED,Meteorological,Unspecified,UHF (300 MHz-3 GHz),5,401.25,403.15
NEW ZEALAND POLICE,Land Mobile,Simplex,HF (3-30 MHz),5,3.0244,5.6814
NORTHLAND RUGBY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,470.7688,477.8563
NZART CHRISTCHURCH BRANCH 05 INC,Amateur,Mobile Transmit,VHF (30-300 MHz),5,144.575,147.875
NZART SOUTH CANTERBURY BRANCH INC,Amateur,Repeater,VHF (30-300 MHz),5,144.575,146.95
Neil Campbell and William David Campbell,Broadcasting,Unspecified,VHF (30-300 MHz),5,90.4,99.9
New Zealand Qualifications Authority,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,483.4188,489.5438
OCEANA GOLD (NEW ZEALAND) LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),5,449.5563,449.5563
OMR2 HOLDINGS LIMITED PARTNERSHIP,Land Mobile,Simplex,VHF (30-300 MHz),5,170.85,172.35
ORANGA TAMARIKI - MINISTRY FOR CHILDREN,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,464.9688,470.8563
OTAGO MARITIME V H F ASSOCIATION INCORPORATED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),5,441.2625,446.2688
OTPP NEW ZEALAND FOREST INVESTMENTS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,150.25,150.7625
PALMERSTON NORTH CITY COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,456.5063,464.3313
PALMERSTON NORTH CITY COUNCIL,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,451.4688,469.5188
PLANEBIZ LTD,Aeronautical,Base Station,VHF (30-300 MHz),5,131.25,133.725
PORT BLAKELY LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),5,151.8,152.6
PORT BLAKELY LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),5,154.0688,155.9813
PURE CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,150.2875,153.5563
PURE TUROA LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,449.9688,471.5813
QUBE FORESTRY NZ LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,150.8625,166.25
RADIO COROMANDEL LIMITED,Broadcasting,Unspecified,VHF (30-300 MHz),5,94.0,95.1
RADISSON HOTELS NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,470.7938,482.1438
RCC SYSTEMS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,449.9938,461.6188
REAL JOURNEYS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),5,155.2813,167.3375
REAL JOURNEYS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),5,151.1,162.7375
RED STAG TIMBER LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,150.2875,153.4813
RIGGERS AND OPERATORS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,470.7188,477.5188
ROSEWARNE LOGGING LTD,Land Mobile,Simplex,VHF (30-300 MHz),5,150.0625,153.5313
ROYS PEAK RADIO USERS INCORPORATED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),5,420.7875,459.1125
SAFE ROAD SERVICES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,458.5188,461.6938
SANFORD LIMITED,Maritime,Unspecified,HF (3-30 MHz),5,4.1264,6.5174
SCANPOWER LTD,Land Mobile,Simplex,VHF (30-300 MHz),5,150.2625,170.8125
SCOTT LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,166.65,170.7625
SEEKA LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,477.5688,483.2063
SKY CITY AUCKLAND LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,482.5188,488.2813
SMITH CRANE & CONSTRUCTION LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,458.6188,489.8188
SOUND SERVICES MASTERWORKS GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,476.1188,488.7563
SOUTH PINE (NELSON) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,477.6438,482.5313
SOUTH WAIKATO DISTRICT COUNCIL,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,472.4563,473.8125
SOUTH WAIKATO DISTRICT COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,478.4438,479.8
SPACE OPERATIONS NEW ZEALAND LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),5,454.025,459.1375
SPEIRS LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,150.0625,159.325
STEWART LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,150.775,159.35
SUMMERSET MANAGEMENT GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,477.5563,477.8563
Sport Northland,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,470.7563,477.6188
TAHAROA IRONSANDS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),5,153.9813,169.5375
TAHAROA IRONSANDS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),5,152.2,164.9375
TARA-ITI HOLDINGS NZ,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,476.3313,483.6688
TARARUA DISTRICT COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,457.2438,462.575
TARARUA DISTRICT COUNCIL,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,452.2063,467.7625
TASMAN DISTRICT COUNCIL,Land Mobile,Simplex,VHF (30-300 MHz),5,150.5875,158.7688
TAYLORS CONTRACTING COMPANY LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,450.4688,469.1125
TAYLORS CONTRACTING COMPANY LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,455.5063,463.925
TE RUNANGA O NGAI TAHU,Broadcasting,Unspecified,VHF (30-300 MHz),5,89.1,99.6
TE RUNANGA O TURANGANUI A KIWA,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),5,405.325,845.25
TE RUNANGANUI O NGATI POROU TRUSTEE LIMITED,Broadcasting,Unspecified,VHF (30-300 MHz),5,93.3,98.5
TE WAIARIKI PUREA TRUST,Land Mobile,Simplex,VHF (30-300 MHz),5,150.1625,153.5813
TECHLIGHT LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,457.3813,458.1688
TECHLIGHT LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,452.3438,453.1313
THE LAMINEX GROUP,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,453.5313,482.7063
THE OTAGO BRANCH OF THE NEW ZEALAND ASSOC OF RADIO TRANSMITTERS INCORPORATED,Amateur,Mobile Transmit,VHF (30-300 MHz),5,146.05,147.0
THE WAREHOUSE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,458.3438,466.6813
THOMAS EARTH SHAPING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),5,165.9875,166.725
TRAFFIC MANAGEMENT APANUI (2023) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,482.6063,482.9688
TWO WAY TECHNOLOGIES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,461.5063,489.0813
Taupo District Council,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),5,442.1125,448.4813
Taupo District Council,Telemetry & Telecommand,Uni-directional,UHF (300 MHz-3 GHz),5,466.8125,466.8125
Tauranga City Council,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,450.2813,453.1313
Tauranga City Council,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,455.3188,458.1688
TĀTAKI AUCKLAND UNLIMITED LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,451.0813,491.0813
TĀTAKI AUCKLAND UNLIMITED LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,456.1188,485.0688
UNIVERSITY OF CANTERBURY,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,461.9438,463.1313
UNIVERSITY OF CANTERBURY,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,467.1313,468.3188
VENUES OTAUTAHI LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,456.0063,478.9938
VENUES OTAUTAHI LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,450.9688,473.0063
VINARCHY NEW ZEALAND LIMITED,Telemetry & Telecommand,Uni-directional,UHF (300 MHz-3 GHz),5,471.225,471.225
Victoria University of Wellington,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,411.0,412.0
Victoria University of Wellington,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,419.0,420.0
WAIPA CIVIL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,482.7188,483.6688
WAIROA DISTRICT COUNCIL,Fixed Link,Bi-directional,VHF (30-300 MHz),5,166.55,166.55
WAITOMO RTUA,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,455.9438,464.2438
WAITOMO RTUA,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,450.9063,469.4313
WANGANUI DISTRICT COUNCIL,Telemetry & Telecommand,Uni-directional,VHF (30-300 MHz),5,160.1375,160.2125
WARREN KYLE HARRIS,Amateur,Repeater,VHF (30-300 MHz),5,144.575,144.575
WATERCARE SERVICES LTD,Land Mobile,Simplex,VHF (30-300 MHz),5,166.6375,171.55
WELLINGTON REGIONAL ECONOMIC DEVELOPMENT AGENCY LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,456.3188,481.9188
WELLINGTON REGIONAL ECONOMIC DEVELOPMENT AGENCY LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),5,451.2813,475.9313
WELLINGTON VHF GROUP INC,Amateur,Mobile Transmit,VHF (30-300 MHz),5,52.75,147.7
WELLINGTON WATER LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,461.6188,489.0813
WILSON CONTRACTORS (2003) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,449.9438,453.4188
WINDSOR PARK STUD LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),5,488.2438,489.0438
WIRI OIL SERVICES LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),5,457.4063,484.7313
4HF FACILITIES LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,462.5813,861.6125
AB LIME LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.3563,466.9813
ACM NEW ZEALAND LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,463.7188,463.7188
ADVANCED SYSTEMS INTEGRATION 2022 LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.075,166.4125
AFFCO NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.3563,461.6063
AIRTEL LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,421.7625,459.8125
AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Satellite & Space,Unspecified,SHF (3-30 GHz),4,4038.1825,6295.577
ALLIANCE GROUP LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,456.0188,462.4813
ALPINE ENERGY LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,479.275,479.625
ALPINE ENERGY LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,473.2875,473.6375
ANDERSON HELICOPTERS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.1125,150.9125
AP Ventures,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,442.7875,465.7625
APATA GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,488.7563,489.9688
ARBOR FORESTRY LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.7625,150.825
ARDLAMONT PROJECTS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.3438,458.6188
AUCKLAND COUNCIL,Fixed Link,Bi-directional,SHF (3-30 GHz),4,22316.0,23593.0
AUCKLAND RACING CLUB (INC),Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,477.6563,483.9063
AUCKLAND THEATRE COMPANY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3438,455.2438
AUCKLAND ZOOLOGICAL PARK,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,465.0063,488.3813
Agrodome (2011) Limited Partnership,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,488.3063,489.9563
BATHURST RESOURCES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,449.9813,466.6938
BAY OF PLENTY DISTRICT HEALTH BOARD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,462.0938,487.7063
BAY OF PLENTY DISTRICT HEALTH BOARD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,467.2813,493.7188
BBI WOOD PRODUCTS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,470.7813,477.6438
BEACH ENERGY RESOURCES NZ (KUPE) LIMITED,Aeronautical,Base Station,VHF (30-300 MHz),4,131.65,133.65
BEACH ENERGY RESOURCES NZ (KUPE) LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,7747.7,8088.67
BEACH ENERGY RESOURCES NZ (KUPE) LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,454.125,1507.0
BIZ TALK LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,10795.0,11445.0
BLACKSTUMP LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,165.9875,171.5
BREADCRAFT WAIRARAPA LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,449.9438,455.0438
BT MINING LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,456.7938,464.1188
BT MINING LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,451.7563,469.3063
BULLER DISTRICT COUNCIL,Maritime,Unspecified,MF (300 kHz-3 MHz),4,2.0134,2.1834
Ballance Agri-Nutrients Ltd,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,468.8813,469.6688
Ballance Agri-Nutrients Ltd,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,463.6938,464.4813
Ballance Agri-Nutrients Ltd,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.3813,466.9063
Blake Paterson-Reardon,Land Mobile,Simplex,VHF (30-300 MHz),4,170.75,171.8
CALDER DEVELOPMENTS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,471.7188,489.3813
CANTERBURY AMATEUR RADIO DEVELOPMENT SOCIETY INCORPORATED,Amateur,Repeater,VHF (30-300 MHz),4,53.85,147.375
CANTERBURY AMATEUR RADIO DEVELOPMENT SOCIETY INCORPORATED,Amateur,Mobile Transmit,UHF (300 MHz-3 GHz),4,433.4,1273.0
CANTERBURY AMATEUR RADIO DEVELOPMENT SOCIETY INCORPORATED,Amateur,Repeater,UHF (300 MHz-3 GHz),4,438.4,1293.0
CANTERBURY AMATEUR RADIO DEVELOPMENT SOCIETY INCORPORATED,Amateur,Mobile Transmit,VHF (30-300 MHz),4,52.85,147.975
CANTERBURY CAR CLUB INC,Land Mobile,Simplex,VHF (30-300 MHz),4,165.775,166.05
CANTERBURY COMMUNICATIONS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,7925.6,15271.0
CANTERBURY WASTE SERVICES LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,18415.0,19480.0
CAPE KIDNAPPERS STATION LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3438,455.0563
CARTER HOLT HARVEY PULP & PAPER - KINLEITH MILL,Land Mobile,Simplex,VHF (30-300 MHz),4,166.0375,166.5625
CARTER HOLT HARVEY WOOD PRODUCTS,Telemetry & Telecommand,Uni-directional,UHF (300 MHz-3 GHz),4,466.8125,471.475
CENTRAL PLAINS WATER LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,460.05,465.6125
CENTURY DRILLING & ENERGY SERVICES (NZ) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,455.0938,482.0438
CHRIS HURRING LOGGING LTD,Land Mobile,Simplex,VHF (30-300 MHz),4,150.3,172.7625
CHRISTCHURCH CITY COUNCIL,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,443.375,448.5313
CHRISTCHURCH CITY COUNCIL,Land Mobile,Simplex,VHF (30-300 MHz),4,84.2875,166.3
CHRISTCHURCH OFFROAD MOTORCYCLE CLUB INCORPORATED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,461.7813,483.9563
CMP CONSTRUCTION NZ LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,470.7313,483.5813
COGENT LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),4,464.5688,487.7563
COGENT LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,469.7563,493.7688
COLLINS LIFTING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,470.9813,482.4313
COMMUNICATION NETWORKS MANAGEMENT LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.125,165.85
COMMUNICATION NETWORKS MANAGEMENT LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,154.2188,155.7563
COMMUNICATION NETWORKS MANAGEMENT LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),4,151.1375,152.4375
COTTONSOFT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,483.4813,483.9688
CSE Crosscom Pty Ltd,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.4563,461.5188
CSE NEW ZEALAND LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),4,454.225,459.2625
CSL INFRASTRUCTURE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,483.7063,489.0188
CULHAM ENGINEERING COMPANY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3188,455.2938
Condor Energy Services,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,458.3438,465.1188
DAIKEN NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,470.825,489.85
DAIKEN SOUTHLAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,464.8313,466.8813
DAIRY GOAT CO-OPERATIVE (N.Z) LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.3688,464.8188
DELTA UTILITY SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.1625,153.5938
DEMPSEY WOOD CIVIL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,482.1813,483.9188
DEVON ELECTRICAL SERVICES,Land Mobile,Simplex,VHF (30-300 MHz),4,84.75,153.5313
DEVON ELECTRICAL SERVICES,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,155.6063,167.55
DEVON ELECTRICAL SERVICES,Land Mobile,Repeater,VHF (30-300 MHz),4,151.425,162.95
DRESSMART ONEHUNGA,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,477.6313,489.5438
DRIVING CREEK RAILWAY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,482.6438,483.1063
DRUMMOND & ETHERIDGE LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,467.1188,469.6813
DUNEDIN INTERNATIONAL AIRPORT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,455.0813,461.6563
DUNEDIN RAILWAYS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,150.8625,150.9125
DYLAN SMART,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,453.5188,477.5688
Daniel Smith Industries Ltd,Land Mobile,Simplex,VHF (30-300 MHz),4,170.825,172.775
David A Frost,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,153.6438,155.4813
David A Frost,Land Mobile,Repeater,VHF (30-300 MHz),4,151.0125,152.7875
David John,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,483.6938,483.9813
Department of Internal Affairs- Archives New Zealand,Land Mobile,Simplex,UHF (300 MHz-3 GHz),4,488.3438,489.0563
EASTLAND GENERATION LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),4,18360.0,19370.0
ELECTRA LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),4,153.5063,153.5563
EMBASSY OF THE UNITED STATES OF AMERICA,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),4,467.8063,469.6563
ENTAIN NEW ZEALAND LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),4,154.0063,169.725
