licenceId,licenceNumber,licensee,channel,frequency,location,status,txrx,suppressed
434164,426519,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM411",104.5,"MAIN ST METHVEN","Current","TX",false
434163,426487,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM111",89.5,"21 RACECOURSE ROAD OMAKAU","Current","TX",false
434162,426498,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM187",93.3,"HICKS BAY LOOKOUT","Current","TX",false
434161,426480,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM187",93.3,"HIKURANGI SPUR","Current","TX",false
434160,426474,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM187",93.3,"TITIRANGI","Current","TX",false
434159,426504,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM201",94.0,"RATAROA","Current","TX",false
434158,426468,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM223",95.1,"COROMANDEL TOWNSHIP","Current","TX",false
434157,426497,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM409",104.4,"LOWER RATAROA","Current","TX",false
434156,426503,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM411",104.5,"LYTTELTON","Current","TX",false
434155,426495,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM427",105.3,"MT HUTT","Current","TX",false
434154,426475,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM223",95.1,"MCBETHS ROAD","Current","TX",false
434153,426512,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM223",95.1,"PAUANUI SOUTH","Current","TX",false
434152,426485,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM429",105.4,"MT MARY(LOW)","Current","TX",false
434151,426472,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM149",91.4,"HILLEND","Current","TX",false
434150,426477,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM141",91.0,"MT BURNETT","Current","TX",false
434149,426493,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM443",106.1,"WALLACE PEAK","Current","TX",false
434148,426464,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM451",106.5,"WITHER HILLS (RADIOWORKS)","Current","TX",false
434147,426478,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM439",105.9,"CROISILLES RIDGE","Current","TX",false
434146,426481,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM439",105.9,"HOLLOW TOP (MARL LINES)","Current","TX",false
434145,426484,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM223",95.1,"OHUKA PARK","Current","TX",false
434144,426492,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM327",100.3,"CAVE HILL","Current","TX",false
434143,426490,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM329",100.4,"MT EGMONT","Current","TX",false
434142,426486,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM335",100.7,"MT THREAVE","Current","TX",false
434141,426473,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM339",100.9,"HUNTSBURY HILL","Current","TX",false
434140,426457,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM427",105.3,"KAUKAU","Current","TX",false
434139,426449,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM429",105.4,"KOPUKAIRUA","Current","TX",false
